Provincia,Pantallas,Butacas,espacio_INCAA,date_time
Santiago del Estero,5,1585,,26-06-2022
Tierra del Fuego,2,584,,26-06-2022
Tierra del Fuego,3,561,,26-06-2022
Tierra del Fuego,1,300,,26-06-2022
Tucumán,5,750,,26-06-2022
Tucumán,1,830,si,26-06-2022
Tucumán,6,1295,,26-06-2022
Tucumán,1,36,,26-06-2022
Tucumán,5,1051,,26-06-2022
Tucumán,3,797,,26-06-2022
Tucumán,1,183,si,26-06-2022
Santa Fe,1,380,,26-06-2022
Santa Fe,2,249,,26-06-2022
Santa Fe,1,330,si,26-06-2022
Santa Fe,1,1014,,26-06-2022
Santa Fe,1,1049,si,26-06-2022
Santa Fe,1,224,,26-06-2022
Santa Fe,1,96,,26-06-2022
Santa Fe,7,1527,,26-06-2022
Santa Fe,1,260,,26-06-2022
Santa Fe,13,3458,,26-06-2022
Santa Fe,1,156,,26-06-2022
Santa Fe,14,3391,,26-06-2022
Santa Fe,9,1911,,26-06-2022
Santa Fe,4,659,,26-06-2022
Santa Fe,9,1471,,26-06-2022
Santa Fe,1,442,,26-06-2022
Santa Fe,1,186,si,26-06-2022
Santa Fe,1,420,,26-06-2022
Mendoza,1,328,,26-06-2022
Mendoza,1,115,,26-06-2022
Mendoza,10,2344,,26-06-2022
Mendoza,1,1000,,26-06-2022
Mendoza,5,949,,26-06-2022
Mendoza,6,1361,,26-06-2022
Mendoza,1,70,,26-06-2022
Mendoza,1,963,,26-06-2022
Mendoza,2,350,,26-06-2022
Mendoza,1,600,si,26-06-2022
Mendoza,1,250,si,26-06-2022
Mendoza,1,160,,26-06-2022
Mendoza,10,1681,,26-06-2022
Mendoza,2,359,,26-06-2022
Córdoba,1,207,,26-06-2022
Córdoba,1,200,,26-06-2022
Córdoba,1,413,,26-06-2022
Córdoba,1,210,,26-06-2022
Córdoba,4,755,,26-06-2022
Córdoba,7,1385,,26-06-2022
Córdoba,6,827,,26-06-2022
Córdoba,8,986,,26-06-2022
Córdoba,6,960,,26-06-2022
Córdoba,12,2386,,26-06-2022
Córdoba,1,23,,26-06-2022
Córdoba,2,374,,26-06-2022
Córdoba,7,1193,,26-06-2022
Córdoba,1,44,,26-06-2022
Córdoba,1,444,,26-06-2022
Córdoba,3,623,,26-06-2022
Córdoba,2,300,,26-06-2022
Córdoba,2,400,,26-06-2022
Córdoba,3,620,,26-06-2022
Córdoba,1,220,si,26-06-2022
Córdoba,1,850,,26-06-2022
Córdoba,3,563,,26-06-2022
Córdoba,4,1000,,26-06-2022
Córdoba,1,412,,26-06-2022
Córdoba,2,400,,26-06-2022
Córdoba,1,200,si,26-06-2022
Córdoba,4,800,,26-06-2022
Ciudad Autónoma de Buenos Aires,8,1379,,26-06-2022
Ciudad Autónoma de Buenos Aires,6,1576,,26-06-2022
Ciudad Autónoma de Buenos Aires,5,792,,26-06-2022
Ciudad Autónoma de Buenos Aires,1,178,,26-06-2022
Ciudad Autónoma de Buenos Aires,3,343,,26-06-2022
Ciudad Autónoma de Buenos Aires,2,452,,26-06-2022
Ciudad Autónoma de Buenos Aires,1,212,,26-06-2022
Ciudad Autónoma de Buenos Aires,1,94,,26-06-2022
Ciudad Autónoma de Buenos Aires,2,190,,26-06-2022
Ciudad Autónoma de Buenos Aires,12,3021,,26-06-2022
Ciudad Autónoma de Buenos Aires,1,224,,26-06-2022
Ciudad Autónoma de Buenos Aires,6,898,,26-06-2022
Ciudad Autónoma de Buenos Aires,3,1167,si,26-06-2022
Ciudad Autónoma de Buenos Aires,9,1769,,26-06-2022
Ciudad Autónoma de Buenos Aires,10,1738,,26-06-2022
Ciudad Autónoma de Buenos Aires,1,100,,26-06-2022
Ciudad Autónoma de Buenos Aires,2,40,,26-06-2022
